bzt,nacl,plnt.micr,inoc,plate,row,column,SetupErrorPossible
0.1,0.8,KSR,n,21,B,6,
0.1,0,KSR,n,21,C,1,
1,10,MoccTr,y,21,C,2,
0,0,KSR,y,21,C,3,
0.1,0,MoccTr,y,21,C,4,
1,0,BruceH,n,21,C,5,
0,0.8,MoccTr,y,21,C,6,
0.1,0.8,BruceH,y,21,D,1,
0,0.8,KSR,y,21,D,2,
0,0,KSR,n,21,D,3,
0.1,0.8,BruceH,y,21,D,4,
10,0,MoccTr,n,21,D,5,
10,0,MoccTr,y,21,D,6,
0.1,0,MoccTr,y,22,A,1,
1,10,KSR,n,22,A,2,
0,0,MoccTr,y,22,A,3,
10,10,MoccTr,n,22,A,4,
0.1,0,KSR,y,22,A,5,
0,10,MoccTr,n,22,A,6,
0.1,0,MoccTr,n,22,B,1,
0,0.8,KSR,y,22,B,2,
0.1,0,MoccTr,n,22,B,3,
0.1,0.8,BruceH,n,22,B,4,
10,0.8,MoccTr,y,22,B,5,
0.1,0.8,BruceH,n,22,B,6,
0,0.8,MoccTr,y,22,C,1,
10,0,BruceH,y,22,C,2,
10,0.8,MoccTr,n,22,C,3,
0,0.8,MoccTr,y,22,C,4,
0.1,10,BruceH,n,22,C,5,
10,0,KSR,n,22,C,6,
0.1,10,BruceH,n,22,D,1,
0,0,BruceH,n,22,D,2,
10,10,MoccTr,n,22,D,3,
10,0,KSR,n,22,D,4,
0.1,10,BruceH,y,22,D,5,
0.1,0.8,KSR,y,22,D,6,
1,10,BruceH,y,23,A,1,
1,0.8,KSR,n,23,A,2,
0.1,10,BruceH,y,23,A,3,
0,0,BruceH,n,23,A,4,
0.1,10,KSR,n,23,A,5,
1,10,MoccTr,y,23,A,6,
0.1,0,BruceH,y,23,B,1,
1,0,BruceH,y,23,B,2,
0,0.8,BruceH,y,23,B,3,
1,0,MoccTr,y,23,B,4,
0.1,0.8,MoccTr,y,23,B,5,
10,0.8,KSR,y,23,B,6,
10,10,KSR,y,23,C,1,
10,0,KSR,n,23,C,2,
10,10,KSR,n,23,C,3,
10,0.8,BruceH,y,23,C,4,
0,10,BruceH,n,23,C,5,
0.1,10,KSR,y,23,C,6,
0,10,BruceH,n,23,D,1,
10,0.8,KSR,n,23,D,2,
0.1,0.8,BruceH,y,23,D,3,
0.1,0.8,KSR,y,23,D,4,
1,0,MoccTr,n,23,D,5,
10,0.8,KSR,n,23,D,6,
0.1,0,BruceH,y,24,A,1,
1,0.8,BruceH,n,24,A,2,
10,0.8,MoccTr,n,24,A,3,
0,0.8,MoccTr,y,24,A,4,
1,0,BruceH,n,24,A,5,
0,0,KSR,y,24,A,6,
0,10,MoccTr,n,24,B,1,
1,0,KSR,n,24,B,2,
0.1,0,BruceH,n,24,B,3,
10,0,BruceH,y,24,B,4,
1,10,BruceH,y,24,B,5,
10,0.8,KSR,n,24,B,6,
0.1,0.8,BruceH,n,24,C,1,
10,0.8,MoccTr,y,24,C,2,
10,10,KSR,n,24,C,3,
10,0.8,MoccTr,n,24,C,4,
0.1,0,BruceH,n,24,C,5,
0.1,0,KSR,y,24,C,6,
10,10,MoccTr,y,24,D,1,
0.1,10,KSR,n,24,D,2,
0,0,BruceH,y,24,D,3,
0.1,10,MoccTr,n,24,D,4,
10,10,KSR,n,24,D,5,
0.1,10,KSR,n,24,D,6,
