plate,row,col,OD600.1,OD600.2,OD750.1,OD750.2,Blank1od600,blank2od600,blank1od750,blank2od750,od600mean.blanked,od750mean.blanked,od600.fancyblankmean,od750.fancyblankmean,Note: blank is 2xK at 70ul for col 1-10 and 50ul for col 11 and 12,"plate 18 so cols 7 and 8, row C tiny amount cross contam bt these 2",regular blanked is just average of two wells where each has blank subtracted and fancy blank sets wells to zero if they are less than their corresponding blank value
16,B,4,0.046,0.042,0.047,0.041,0.038,0.039,0.038,0.038,0.0055,0.006,0.0055,0.006,,,
16,B,5,0.04,0.041,0.04,0.04,0.038,0.039,0.037,0.038,0.002,0.0025,0.002,0.0025,,,
16,B,6,0.045,0.046,0.043,0.043,0.043,0.043,0.044,0.044,0.0025,-0.001,0.0025,0,,,
16,C,1,0.045,0.045,0.043,0.042,0.038,0.039,0.038,0.038,0.0065,0.0045,0.0065,0.0045,,,
16,C,2,0.042,0.04,0.042,0.04,0.039,0.039,0.04,0.039,0.002,0.0015,0.002,0.0015,,,
16,C,3,0.04,0.04,0.042,0.039,0.038,0.038,0.041,0.038,0.002,0.001,0.002,0.001,,,
16,C,4,0.041,0.047,0.041,0.044,0.038,0.038,0.039,0.038,0.006,0.004,0.006,0.004,,,
16,C,5,0.042,0.049,0.042,0.05,0.038,0.039,0.038,0.04,0.007,0.007,0.007,0.007,,,
16,C,6,0.044,0.051,0.042,0.048,0.047,0.047,0.048,0.049,0.0005,-0.0035,0.002,0,,,
16,D,1,0.046,0.047,0.044,0.047,0.038,0.042,0.038,0.042,0.0065,0.0055,0.0065,0.0055,,,
16,D,2,0.04,0.042,0.04,0.041,0.039,0.042,0.04,0.042,0.0005,-0.0005,0.0005,0,,,
16,D,3,0.047,0.049,0.046,0.045,0.038,0.042,0.04,0.041,0.008,0.005,0.008,0.005,,,
16,D,4,0.054,0.067,0.049,0.059,0.039,0.042,0.038,0.041,0.02,0.0145,0.02,0.0145,,,
16,D,5,0.047,0.049,0.045,0.044,0.038,0.039,0.037,0.039,0.0095,0.0065,0.0095,0.0065,,,
16,D,6,0.059,0.062,0.05,0.055,0.05,0.041,0.053,0.04,0.015,0.006,0.015,0.0075,,,
17,A,1,0.039,0.039,0.039,0.039,0.039,0.038,0.038,0.037,0.0005,0.0015,0.0005,0.0015,,,
17,A,2,0.044,0.045,0.043,0.043,0.041,0.038,0.042,0.038,0.005,0.003,0.005,0.003,,,
17,A,3,0.052,0.044,0.047,0.046,0.04,0.038,0.041,0.04,0.009,0.006,0.009,0.006,,,
17,A,4,0.044,0.042,0.042,0.042,0.04,0.038,0.041,0.04,0.004,0.0015,0.004,0.0015,,,
17,A,5,0.047,0.043,0.043,0.042,0.04,0.038,0.041,0.039,0.006,0.0025,0.006,0.0025,,,
17,A,6,0.049,0.045,0.046,0.044,0.04,0.038,0.04,0.038,0.008,0.006,0.008,0.006,,,
17,B,1,0.047,0.047,0.044,0.044,0.037,0.037,0.037,0.037,0.01,0.007,0.01,0.007,,,
17,B,2,0.039,0.039,0.038,0.039,0.038,0.039,0.038,0.038,0.0005,0.0005,0.0005,0.0005,,,
17,B,3,0.043,0.044,0.04,0.041,0.038,0.039,0.038,0.039,0.005,0.002,0.005,0.002,,,
17,B,4,0.04,0.042,0.038,0.041,0.039,0.039,0.037,0.04,0.002,0.001,0.002,0.001,,,
17,B,5,0.09,0.042,0.083,0.043,0.039,0.038,0.038,0.039,0.0275,0.0245,0.0275,0.0245,,,
17,B,6,0.046,0.045,0.043,0.044,0.038,0.038,0.038,0.038,0.0075,0.0055,0.0075,0.0055,,,
17,C,1,0.044,0.045,0.042,0.042,0.039,0.039,0.039,0.038,0.0055,0.0035,0.0055,0.0035,,,
17,C,2,0.039,0.039,0.04,0.04,0.038,0.038,0.039,0.04,0.001,0.0005,0.001,0.0005,,,
17,C,3,0.044,0.044,0.041,0.041,0.038,0.039,0.038,0.038,0.0055,0.003,0.0055,0.003,,,
17,C,4,0.045,0.046,0.045,0.044,0.038,0.038,0.04,0.039,0.0075,0.005,0.0075,0.005,,,
17,C,5,0.044,0.045,0.044,0.042,0.038,0.039,0.04,0.038,0.006,0.004,0.006,0.004,,,
17,C,6,0.044,0.044,0.042,0.042,0.038,0.038,0.038,0.038,0.006,0.004,0.006,0.004,,,
17,D,1,0.041,0.042,0.042,0.041,0.037,0.039,0.036,0.038,0.0035,0.0045,0.0035,0.0045,,,
17,D,2,0.046,0.042,0.044,0.041,0.048,0.041,0.046,0.041,-0.0005,-0.001,0.0005,0,,,
17,D,3,0.039,0.04,0.039,0.039,0.038,0.041,0.039,0.041,-3.46944695195361E-018,-0.001,0.0005,0,,,
17,D,4,0.055,0.055,0.05,0.049,0.038,0.042,0.039,0.042,0.015,0.009,0.015,0.009,,,
17,D,5,0.039,0.045,0.041,0.042,0.038,0.042,0.041,0.043,0.002,-0.0005,0.002,0,,,
17,D,6,0.04,0.042,0.04,0.04,0.038,0.042,0.039,0.041,0.001,-3.46944695195361E-018,0.001,0.0005,,,
18,A,1,0.043,0.043,0.042,0.042,0.041,0.038,0.043,0.038,0.0035,0.0015,0.0035,0.002,,,
18,A,2,0.045,0.048,0.042,0.045,0.041,0.039,0.041,0.039,0.0065,0.0035,0.0065,0.0035,,,
18,A,3,0.054,0.042,0.05,0.041,0.041,0.038,0.041,0.038,0.0085,0.006,0.0085,0.006,,,
18,A,4,0.045,0.056,0.044,0.054,0.04,0.038,0.041,0.039,0.0115,0.009,0.0115,0.009,,,
18,A,5,0.042,0.04,0.041,0.04,0.04,0.038,0.04,0.038,0.002,0.0015,0.002,0.0015,,,
18,A,6,0.043,0.043,0.041,0.041,0.04,0.043,0.039,0.044,0.0015,-0.0005,0.0015,0.001,,,
18,B,1,0.04,0.039,0.04,0.039,0.038,0.038,0.038,0.038,0.0015,0.0015,0.0015,0.0015,,,
18,B,2,0.039,0.039,0.038,0.038,0.038,0.038,0.038,0.038,0.001,0,0.001,0,,,
18,B,3,0.044,0.045,0.042,0.042,0.039,0.039,0.038,0.04,0.0055,0.003,0.0055,0.003,,,
18,B,4,0.039,0.041,0.039,0.04,0.038,0.039,0.038,0.038,0.0015,0.0015,0.0015,0.0015,,,
18,B,5,0.043,0.044,0.04,0.042,0.038,0.039,0.037,0.038,0.005,0.0035,0.005,0.0035,,,
18,B,6,0.044,0.046,0.043,0.044,0.043,0.043,0.044,0.044,0.002,-0.0005,0.002,0,,,
18,C,1,0.047,0.057,0.046,0.052,0.038,0.039,0.038,0.038,0.0135,0.011,0.0135,0.011,,,
18,C,2,0.042,0.044,0.042,0.042,0.039,0.039,0.04,0.039,0.004,0.0025,0.004,0.0025,,,
18,C,3,0.039,0.039,0.042,0.038,0.038,0.038,0.041,0.038,0.001,0.0005,0.001,0.0005,,,
18,C,4,0.045,0.051,0.045,0.049,0.038,0.038,0.039,0.038,0.01,0.0085,0.01,0.0085,,,
18,C,5,0.039,0.04,0.04,0.042,0.038,0.039,0.038,0.04,0.001,0.002,0.001,0.002,,,
18,C,6,0.047,0.047,0.044,0.044,0.047,0.047,0.048,0.049,0,-0.0045,0,0,,,
18,D,1,0.039,0.041,0.039,0.042,0.038,0.042,0.038,0.042,3.46944695195361E-018,0.0005,0.0005,0.0005,,,
