"pixstart","pix20","pix23","pixend","alivestart","alive20","alive23","aliveend","deadstart","dead20","dead23","deadend","dpixse","dpixs20","dpix2023","dpixs23","dpix23e","dpixse.1","bzt","nacl","inoc","plnt.micr","plate","lbzt","lnacl","lOD600","lOD750","flOD600","Lcellfb6","cellfb6","red","green","blue","aggrE","daggrE","x","y"
2014,2314,3166.98230088496,2660,1,1,1,1,0,0,0,0,646,300,852.982300884956,1152.98230088496,-506.982300884956,646,10,0,"n","MoccTr",9,2.30358459332713,-2.52572864430826,-3.44201937618241,-3.70908216143146,-3.44201937618241,8.2087494655649,3587.45160112287,0.465033780993442,0.448903150139584,0.0860630688669739,6.74313961594524,-1.95048563441735,148.796666666667,-63.75
1649,2317.93805309735,4179.06194690266,4805,1,1,1,1,0,0,0,0,3156,668.938053097345,1861.12389380531,2530.06194690266,625.938053097345,3156,0,0,"y","KSR",9,-4.60517018598809,-2.52572864430826,-3.91202300542815,-4.1043948980756,-3.91202300542815,7.27343606473119,1356.0001774582,0.453451026177249,0.465092011683752,0.081456962138999,10.4840328506969,2.35831833971807,169.963333333333,-63.75
2540,361.513274336283,363.87610619469,714,1,1,1,1,0,0,0,0,-1826,-2178.48672566372,2.36283185840708,-2176.12389380531,350.12389380531,-1826,0,10,"y","MoccTr",9,-4.60517018598809,2.31055326264322,-3.91202300542815,-3.98998454689786,-3.91202300542815,7.27343606473119,1356.0001774582,0.438405255020982,0.441518655466974,0.120076089512044,6.19275603663614,-4.30714681859335,191.13,-63.75
949,0,0,0,1,0,0,0,0,1,1,1,-949,-949,0,-949,0,-949,0,10,"y","KSR",9,-4.60517018598809,2.31055326264322,-3.9633162998157,-4.07454193492592,-3.9633162998157,7.16360348340068,1206.06181447293,NA,NA,NA,NA,NA,212.296666666667,-63.75
1574,582.83185840708,801,831,1,1,1,1,0,0,0,0,-743,-991.16814159292,218.16814159292,-773,30,-743,1,0.8,"y","KSR",9,0.00995033085316809,-0.127833371509885,-3.50655789731998,-3.70908216143146,-3.50655789731998,8.08404065446062,3156.81300354238,0.475603018414004,0.482009105595535,0.0423878759904608,7.29702674698372,1.55947421046788,233.463333333333,-63.75
572,0,0,0,1,0,0,0,0,1,1,1,-572,-572,0,-572,0,-572,1,10,"y","KSR",9,0.00995033085316809,2.31055326264322,-3.98998454689786,-4.16691525505694,-3.98998454689786,7.10534631417912,1132.96913703775,NA,NA,NA,NA,NA,254.63,-63.75
2154,3007.09734513274,4794.97345132743,4813,1,1,1,1,0,0,0,0,2659,853.097345132743,1787.87610619469,2640.97345132743,18.0265486725666,2659,1,0,"y","BruceH",9,0.00995033085316809,-2.52572864430826,-3.9633162998157,-4.13516655674236,-3.9633162998157,7.16360348340068,1206.06181447293,0.444275923249725,0.487358525662121,0.0683655510881541,11.2317597668237,1.38233614558299,148.796666666667,-85
871,0,0,0,1,0,0,0,0,1,1,1,-871,-871,0,-871,0,-871,0,0.8,"n","KSR",9,-4.60517018598809,-0.127833371509885,-3.59356927430961,-3.68887945411394,-3.59356927430961,7.91502801353791,2652.62838783532,NA,NA,NA,NA,NA,169.963333333333,-85
1768,0,0,0,1,0,0,0,0,1,1,1,-1768,-1768,0,-1768,0,-1768,10,10,"y","MoccTr",9,2.30358459332713,2.31055326264322,-4.01738352108597,-4.23360662955561,-4.01738352108597,7.0445491275868,1061.09690667307,NA,NA,NA,NA,NA,191.13,-85
971,0,0,0,1,0,0,0,0,1,1,1,-971,-971,0,-971,0,-971,1,0.8,"y","KSR",9,0.00995033085316809,-0.127833371509885,-4.13516655674236,-4.30506559353775,-4.13516655674236,6.76933672978833,785.239324389224,NA,NA,NA,NA,NA,212.296666666667,-85
2032,1124.70796460177,597.796460176991,929,1,1,1,1,0,0,0,0,-1103,-907.29203539823,-526.911504424779,-1434.20353982301,331.203539823009,-1103,10,0.8,"y","MoccTr",9,2.30358459332713,-0.127833371509885,-3.01593498087151,-3.17008566069877,-3.01593498087151,9.03308767184721,8290.18619611162,0.443152534526657,0.42747730370599,0.129370161767353,5.24752027836146,-1.5826170302552,233.463333333333,-85
